codigo,sigla,nome,ativa,tipo,apelido,casa,dataCriacao,dataExtincao,dataInstalacao,finalidade,historia,participacao,composicao,atualizadoEm
38,CAE,Comissão de Assuntos Econômicos,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.380Z
40,CAS,Comissão de Assuntos Sociais,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.380Z
2614,CCDD,Comissão de Comunicação e Direito Digital,true,permanente,,SF,2023-06-07,,,,,,[object Object],2025-05-10T23:59:10.380Z
34,CCJ,"Comissão de Constituição, Justiça e Cidadania",true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.380Z
1363,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática",true,permanente,,SF,2007-02-07,,,,,,[object Object],2025-05-10T23:59:10.381Z
2617,CDD,Comissão de Defesa da Democracia,true,permanente,,SF,2023-06-07,,,,,,[object Object],2025-05-10T23:59:10.381Z
834,CDH,Comissão de Direitos Humanos e Legislação Participativa,true,permanente,,SF,2002-12-13,,,,,,[object Object],2025-05-10T23:59:10.381Z
2726,CDHHAIA,Subcomissão Temporária para debater a Convenção sobre os Aspectos Civis do Sequestro Internacional de Crianças,true,permanente,,SF,2025-03-13,,,,,,[object Object],2025-05-10T23:59:10.381Z
1306,CDR,Comissão de Desenvolvimento Regional e Turismo,true,permanente,,SF,2005-02-18,,,,,,[object Object],2025-05-10T23:59:10.381Z
47,CE,Comissão de Educação e Cultura,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.381Z
2615,CEsp,Comissão de Esporte,true,permanente,,SF,2023-06-07,,,,,,[object Object],2025-05-10T23:59:10.381Z
59,CI,Comissão de Serviços de Infraestrutura,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.381Z
2739,CIBR319,Subcomissão temporária para examinar a BR-319,true,permanente,,SF,2025-04-08,,,,,,[object Object],2025-05-10T23:59:10.381Z
50,CMA,Comissão de Meio Ambiente,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.381Z
446,CORREG,Corregedoria Parlamentar,true,permanente,,SF,1993-03-17,,,"A Corregedoria Parlamentar é o órgão responsável por promover a manutenção do decoro, da ordem e da disciplina no Senado Federal, incluindo questões referentes à segurança interna e externa da Casa.",,,[object Object],2025-05-10T23:59:10.381Z
2703,CPIBETS,CPI das BETS,true,permanente,,SF,2024-10-08,,,"investigar, no prazo de cento e trinta dias, com limite de despesas de cento e dez mil reais, a crescente influência dos jogos virtuais de apostas online no orçamento das famílias brasileiras, além da possível associação com organizações criminosas envolvidas em práticas de lavagem de dinheiro, bem como o uso de influenciadores digitais na promoção e divulgação dessas atividades.",,,[object Object],2025-05-10T23:59:10.381Z
2658,CPIVD,CPI da Violência Doméstica,true,permanente,,SF,2024-03-13,,,"apurar, no prazo de 180 (cento e oitenta) dias, com limite de despesas de R$ 150.000,00 (cento e cinquenta mil reais), crimes de violência doméstica e familiar contra a mulher desde 2019 até os dias atuais, com base em diferentes levantamentos e estudos, com a finalidade de investigar a ação ou omissão do poder público com relação à aplicação dos instrumentos instituídos em lei para proteger as mulheres da violência, bem como suas responsabilidades decorrentes do descumprimento da legislação criada para esse fim.",,,[object Object],2025-05-10T23:59:10.381Z
1307,CRA,Comissão de Agricultura e Reforma Agrária,true,permanente,,SF,2005-02-22,,,,,,[object Object],2025-05-10T23:59:10.381Z
54,CRE,Comissão de Relações Exteriores e Defesa Nacional,true,permanente,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.381Z
2429,CSP,Comissão de Segurança Pública,true,permanente,,SF,2021-03-12,,,,,,[object Object],2025-05-10T23:59:10.381Z
1956,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor",true,permanente,,SF,2015-09-02,,,,,,[object Object],2025-05-10T23:59:10.381Z
1543,OUVIDSF,Ouvidoria do Senado Federal,true,permanente,,SF,2005-02-17,,,"Na busca constante pela transparência e aproximação da sociedade com o Parlamento, a Ouvidoria do Senado Federal foi criada como órgão para fortalecer o exercício da cidadania.",,,[object Object],2025-05-10T23:59:10.381Z
1998,PLEN,Plenário do Senado Federal,true,permanente,,SF,2015-12-23,,,,,,[object Object],2025-05-10T23:59:10.381Z
1659,PROMUL,Procuradoria Especial da Mulher,true,permanente,,SF,2013-02-20,,,"A Procuradoria Especial da Mulher do Senado tem como missão zelar, fiscalizar, controlar e incentivar os direitos da mulher, criando mecanismos de empoderamento, especialmente, em situações de desigualdade de gênero. Temos como valor o respeito à dignidade da pessoa humana e à diversidade em uma busca permanente pela universalização dos direitos humanos.",,,[object Object],2025-05-10T23:59:10.381Z
448,PROPAR,Procuradoria Parlamentar,true,permanente,,SF,1995-08-23,,,"A Procuradoria Parlamentar promove a defesa, perante a sociedade, do Senado, de suas funções institucionais e de seus órgãos e integrantes, quando atingidos em sua honra ou imagem em razão do exercício do mandato.",,,[object Object],2025-05-10T23:59:10.381Z
2638,CCDDJECC,Subcomissão Temporária para viabilizar o surgimento dos Juizados Especiais de Crimes Cibernéticos,true,temporaria,,SF,2023-09-20,,,,,,[object Object],2025-05-10T23:59:10.380Z
2589,CEHV,Comissão Especial para Debate de Políticas Públicas sobre Hidrogênio Verde,true,temporaria,,SF,2023-03-14,,,"debater, no prazo de dois anos, políticas públicas sobre hidrogênio verde, de modo a fomentar o ganho em escala dessa tecnologia de geração de energia limpa e avaliar políticas públicas que fomentem a tecnologia do hidrogênio verde.",,,[object Object],2025-05-10T23:59:10.381Z
2724,CMACOP30,Subcomissão Temporária para acompanhamento dos preparativos para realização da COP 30,true,temporaria,,SF,2025-03-11,,,,,,[object Object],2025-05-10T23:59:10.381Z
2740,CTBOLÍVIA,Comissão Temporária Externa para investigar a situação dos brasileiros na Bolívia,true,temporaria,,SF,2025-04-08,,,"Investigar, no prazo de 120 dias, a situação dos brasileiros na Bolívia, principalmente os estudantes, e o caso Jenife Silva, estudante de medicina amapaense recentemente assassinada naquele país.",,,[object Object],2025-05-10T23:59:10.381Z
2648,CTEBOLÍVIA,"Comissão Temporária Externa para verificar ""in loco"" a situação política e social do Estado Plurinacional da Bolívia",true,temporaria,,SF,2023-11-28,,,"verificar ""in loco"", no prazo de 180 dias, a situação política e social do Estado Plurinacional da Bolívia, no que diz respeito à cláusula democrática do Mercosul, prevista nos Protocolos de Ushuaia, cujo texto estabelece que a plena vigência das instituições democráticas é indispensável para o desenvolvimento dos processos de integração entre os signatários do referido Bloco.",,,[object Object],2025-05-10T23:59:10.381Z
