codigo,nome,partido,uf,cargo,tipoLideranca,nomeLideranca,siglaLideranca
6109,Aline Sleutjes,PROS,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
742,Marcelo Castro,MDB,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6188,Mauro Benevides Filho,PDT,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
4770,Izalci Lucas,PL,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6526,Rodrigo Gambale,PODEMOS,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5990,Carlos Viana,PODEMOS,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6250,AJ Albuquerque,PP,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
22,Esperidião Amin,PP,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
3688,Giacobo,PL,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6567,Paulo Litro,PSD,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5321,Aureo Ribeiro,SOLIDARIEDADE,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5231,Danilo Forte,UNIÃO,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5386,Professora Dorinha Seabra,UNIÃO,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6055,Túlio Gadêlha,REDE,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6167,Talíria Petrone,PSOL,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6027,Mecias de Jesus,REPUBLICANOS,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6358,Ana Paula Lobato,PDT,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
6089,Acácio Favacho,MDB,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
3811,Wilson Santiago,REPUBLICANOS,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5012,Randolfe Rodrigues,PT,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
5967,Angelo Coronel,PSD,,[object Object],Líder do Congresso Nacional,Liderança de Partido na CMO,P
581,Jaques Wagner,PT,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
475,Confúcio Moura,MDB,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5998,Daniella Ribeiro,PP,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5895,Jorge Kajuru,PSB,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5386,Professora Dorinha Seabra,UNIÃO,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5012,Randolfe Rodrigues,PT,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5411,Weverton,PDT,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5783,Zenaide Maia,PSD,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5523,Otto Alencar,PSD,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
6350,Augusta Brito,PT,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5979,Leila Barros,PDT,,[object Object],Líder do Senado Federal,Liderança do Governo no Senado Federal,G
5012,Randolfe Rodrigues,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5338,Bohn Gass,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
4729,Carlos Zarattini,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
3851,Daniel Almeida,PCdoB,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
6463,Dorinaldo Malafaia,PDT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
3695,Lindbergh Farias,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
3786,Reginaldo Lopes,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
6273,Otto Alencar Filho,PSD,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
775,Laura Carneiro,PSD,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
581,Jaques Wagner,PT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5979,Leila Barros,PDT,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5783,Zenaide Maia,PSD,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5525,Omar Aziz,PSD,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
6597,Professora Luciene Cavalcante,PSOL,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
6162,Daniela do Waguinho,UNIÃO,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5369,Jonas Donizette,PSB,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5719,Hildo Rocha,MDB,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
5643,Felipe Carreras,PSB,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
6100,José Nelto,UNIÃO,,[object Object],Líder do Congresso Nacional,Liderança do Governo no Congresso Nacional,G
4588,José Guimarães,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
705,Damião Feliciano,UNIÃO,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6403,Waldemar Oliveira,AVANTE,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5313,Pedro Paulo,PSD,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5722,Rubens Pereira Júnior,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6060,Emanuel Pinheiro Neto,MDB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6447,Ana Paula Lima,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6502,Pastor Henrique Vieira,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6553,Maria Arraes,SOLIDARIEDADE,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
769,Jandira Feghali,PCdoB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
4575,Lídice da Mata,PSB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6188,Mauro Benevides Filho,PDT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6039,Márcio Jerry,PCdoB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
4738,Jilmar Tatto,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5284,Romero Rodrigues,PODEMOS,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
