id,nome,partido,uf
6109,Aline Sleutjes,PROS,
742,Marcelo Castro,MDB,
6188,Mauro Benevides Filho,PDT,
4770,Izalci Lucas,PL,
6526,Rodrigo Gambale,PODEMOS,
5990,Carlos Viana,PODEMOS,
6250,AJ Albuquerque,PP,
22,Esperidião Amin,PP,
3688,Giacobo,PL,
6567,Paulo Litro,PSD,
5321,Aureo Ribeiro,SOLIDARIEDADE,
5231,Danilo Forte,UNIÃO,
5386,Professora Dorinha Seabra,UNIÃO,
6055,Túlio Gadêlha,REDE,
6167,Talíria Petrone,PSOL,
6027,Mecias de Jesus,REPUBLICANOS,
6358,Ana Paula Lobato,PDT,
6089,Acácio Favacho,MDB,
3811,Wilson Santiago,REPUBLICANOS,
5012,Randolfe Rodrigues,PT,
5967,Angelo Coronel,PSD,
581,Jaques Wagner,PT,
475,Confúcio Moura,MDB,
5998,Daniella Ribeiro,PP,
5895,Jorge Kajuru,PSB,
5386,Professora Dorinha Seabra,UNIÃO,
5012,Randolfe Rodrigues,PT,
5411,Weverton,PDT,
5783,Zenaide Maia,PSD,
5523,Otto Alencar,PSD,
6350,Augusta Brito,PT,
5979,Leila Barros,PDT,
5012,Randolfe Rodrigues,PT,
5338,Bohn Gass,PT,
4729,Carlos Zarattini,PT,
3851,Daniel Almeida,PCdoB,
6463,Dorinaldo Malafaia,PDT,
3695,Lindbergh Farias,PT,
3786,Reginaldo Lopes,PT,
6273,Otto Alencar Filho,PSD,
775,Laura Carneiro,PSD,
581,Jaques Wagner,PT,
5979,Leila Barros,PDT,
5783,Zenaide Maia,PSD,
5525,Omar Aziz,PSD,
6597,Professora Luciene Cavalcante,PSOL,
6162,Daniela do Waguinho,UNIÃO,
5369,Jonas Donizette,PSB,
5719,Hildo Rocha,MDB,
5643,Felipe Carreras,PSB,
6100,José Nelto,UNIÃO,
4588,José Guimarães,PT,
705,Damião Feliciano,UNIÃO,
6403,Waldemar Oliveira,AVANTE,
5313,Pedro Paulo,PSD,
5722,Rubens Pereira Júnior,PT,
6060,Emanuel Pinheiro Neto,MDB,
6447,Ana Paula Lima,PT,
