codigo,nome,partido,uf,cargo,tipoMesa
3830,Davi Alcolumbre,UNIÃO,AP,[object Object],senado
3777,Eduardo Gomes,PL,TO,[object Object],senado
5008,Humberto Costa,PT,PE,[object Object],senado
5998,Daniella Ribeiro,PP,PB,[object Object],senado
475,Confúcio Moura,MDB,RO,[object Object],senado
6358,Ana Paula Lobato,PDT,MA,[object Object],senado
4811,Laércio Oliveira,PP,SE,[object Object],senado
470,Chico Rodrigues,PSB,RR,[object Object],senado
6027,Mecias de Jesus,REPUBLICANOS,RR,[object Object],senado
5959,Styvenson Valentim,PSDB,RN,[object Object],senado
5988,Soraya Thronicke,PODEMOS,MS,[object Object],senado
3830,Davi Alcolumbre,UNIÃO,AP,[object Object],congresso
5771,Altineu Côrtes,PL,RJ,[object Object],congresso
5008,Humberto Costa,PT,PE,[object Object],congresso
6131,Carlos Veras,PT,PE,[object Object],congresso
475,Confúcio Moura,MDB,RO,[object Object],congresso
6452,Delegada Katarina,PSD,SE,[object Object],congresso
4811,Laércio Oliveira,PP,SE,[object Object],congresso
