id,nome,partido,uf
3830,Davi Alcolumbre,UNIÃO,AP
3777,Eduardo Gomes,PL,TO
5008,Humberto Costa,PT,PE
5998,Daniella Ribeiro,PP,PB
475,Confúcio Moura,MDB,RO
6358,Ana Paula Lobato,PDT,MA
4811,Laércio Oliveira,PP,SE
470,Chico Rodrigues,PSB,RR
6027,Mecias de Jesus,REPUBLICANOS,RR
5959,Styvenson Valentim,PSDB,RN
5988,Soraya Thronicke,PODEMOS,MS
3830,Davi Alcolumbre,UNIÃO,AP
5771,Altineu Côrtes,PL,RJ
5008,Humberto Costa,PT,PE
6131,Carlos Veras,PT,PE
475,Confúcio Moura,MDB,RO
6452,Delegada Katarina,PSD,SE
4811,Laércio Oliveira,PP,SE
