id,nome,partido,uf,genero,email,situacao
5672,Alan Rick,UNIÃO,AC,Masculino,sen.alanrick@senado.leg.br,[object Object]
5982,Alessandro Vieira,MDB,SE,Masculino,sen.alessandrovieira@senado.leg.br,[object Object]
6358,Ana Paula Lobato,PDT,MA,Feminino,sen.anapaulalobato@senado.leg.br,[object Object]
5967,Angelo Coronel,PSD,BA,Masculino,sen.angelocoronel@senado.leg.br,[object Object]
6009,Astronauta Marcos Pontes,PL,SP,Masculino,sen.astronautamarcospontes@senado.leg.br,[object Object]
6350,Augusta Brito,PT,CE,Feminino,sen.augustabrito@senado.leg.br,[object Object]
4639,Beto Faro,PT,PA,Masculino,sen.betofaro@senado.leg.br,[object Object]
5936,Carlos Portinho,PL,RJ,Masculino,sen.carlosportinho@senado.leg.br,[object Object]
5990,Carlos Viana,PODEMOS,MG,Masculino,sen.carlosviana@senado.leg.br,[object Object]
470,Chico Rodrigues,PSB,RR,Masculino,sen.chicorodrigues@senado.leg.br,[object Object]
5973,Cid Gomes,PSB,CE,Masculino,sen.cidgomes@senado.leg.br,[object Object]
739,Ciro Nogueira,PP,PI,Masculino,sen.cironogueira@senado.leg.br,[object Object]
6337,Cleitinho,REPUBLICANOS,MG,Masculino,sen.cleitinho@senado.leg.br,[object Object]
475,Confúcio Moura,MDB,RO,Masculino,sen.confuciomoura@senado.leg.br,[object Object]
6335,Damares Alves,REPUBLICANOS,DF,Feminino,sen.damaresalves@senado.leg.br,[object Object]
5998,Daniella Ribeiro,PP,PB,Feminino,sen.daniellaribeiro@senado.leg.br,[object Object]
3830,Davi Alcolumbre,UNIÃO,AP,Masculino,sen.davialcolumbre@senado.leg.br,[object Object]
5793,Dr. Hiran,PP,RR,Masculino,sen.drhiran@senado.leg.br,[object Object]
5906,Dra. Eudócia,PL,AL,Feminino,sen.draeudocia@senado.leg.br,[object Object]
4994,Eduardo Braga,MDB,AM,Masculino,sen.eduardobraga@senado.leg.br,[object Object]
5976,Eduardo Girão,NOVO,CE,Masculino,sen.eduardogirao@senado.leg.br,[object Object]
3777,Eduardo Gomes,PL,TO,Masculino,sen.eduardogomes@senado.leg.br,[object Object]
4642,Efraim Filho,UNIÃO,PB,Masculino,sen.efraimfilho@senado.leg.br,[object Object]
5718,Eliziane Gama,PSD,MA,Feminino,sen.elizianegama@senado.leg.br,[object Object]
22,Esperidião Amin,PP,SC,Masculino,sen.esperidiaoamin@senado.leg.br,[object Object]
5953,Fabiano Contarato,PT,ES,Masculino,sen.fabianocontarato@senado.leg.br,[object Object]
5917,Fernando Dueire,MDB,PE,Masculino,sen.fernandodueire@senado.leg.br,[object Object]
6345,Fernando Farias,MDB,AL,Masculino,sen.fernandofarias@senado.leg.br,[object Object]
345,Flávio Arns,PSB,PR,Masculino,sen.flavioarns@senado.leg.br,[object Object]
5894,Flávio Bolsonaro,PL,RJ,Masculino,sen.flaviobolsonaro@senado.leg.br,[object Object]
6008,Giordano,MDB,SP,Masculino,sen.giordano@senado.leg.br,[object Object]
6341,Hamilton Mourão,REPUBLICANOS,RS,Masculino,sen.hamiltonmourao@senado.leg.br,[object Object]
5008,Humberto Costa,PT,PE,Masculino,sen.humbertocosta@senado.leg.br,[object Object]
5385,Irajá,PSD,TO,Masculino,sen.iraja@senado.leg.br,[object Object]
6010,Ivete da Silveira,MDB,SC,Feminino,sen.ivetedasilveira@senado.leg.br,[object Object]
4770,Izalci Lucas,PL,DF,Masculino,sen.izalcilucas@senado.leg.br,[object Object]
35,Jader Barbalho,MDB,PA,Masculino,sen.jaderbarbalho@senado.leg.br,[object Object]
6340,Jaime Bagattoli,PL,RO,Masculino,sen.jaimebagattoli@senado.leg.br,[object Object]
581,Jaques Wagner,PT,BA,Masculino,sen.jaqueswagner@senado.leg.br,[object Object]
4531,Jayme Campos,UNIÃO,MT,Masculino,sen.jaymecampos@senado.leg.br,[object Object]
5895,Jorge Kajuru,PSB,GO,Masculino,sen.jorgekajuru@senado.leg.br,[object Object]
6342,Jorge Seif,PL,SC,Masculino,sen.jorgeseif@senado.leg.br,[object Object]
6369,Jussara Lima,PSD,PI,Feminino,sen.jussaralima@senado.leg.br,[object Object]
4811,Laércio Oliveira,PP,SE,Masculino,sen.laerciooliveira@senado.leg.br,[object Object]
5979,Leila Barros,PDT,DF,Feminino,sen.leilabarros@senado.leg.br,[object Object]
5926,Lucas Barreto,PSD,AP,Masculino,sen.lucasbarreto@senado.leg.br,[object Object]
1186,Luis Carlos Heinze,PP,RS,Masculino,sen.luiscarlosheinze@senado.leg.br,[object Object]
631,Magno Malta,PL,ES,Masculino,sen.magnomalta@senado.leg.br,[object Object]
5376,Mara Gabrilli,PSD,SP,Feminino,sen.maragabrilli@senado.leg.br,[object Object]
742,Marcelo Castro,MDB,PI,Masculino,sen.marcelocastro@senado.leg.br,[object Object]
285,Marcio Bittar,UNIÃO,AC,Masculino,sen.marciobittar@senado.leg.br,[object Object]
5422,Marcos Rogério,PL,RO,Masculino,sen.marcosrogerio@senado.leg.br,[object Object]
5942,Marcos do Val,PODEMOS,ES,Masculino,sen.marcosdoval@senado.leg.br,[object Object]
6304,Margareth Buzetti,PSD,MT,Feminino,sen.margarethbuzetti@senado.leg.br,[object Object]
6027,Mecias de Jesus,REPUBLICANOS,RR,Masculino,sen.meciasdejesus@senado.leg.br,[object Object]
5985,Nelsinho Trad,PSD,MS,Masculino,sen.nelsinhotrad@senado.leg.br,[object Object]
5525,Omar Aziz,PSD,AM,Masculino,sen.omaraziz@senado.leg.br,[object Object]
5924,Oriovisto Guimarães,PSDB,PR,Masculino,sen.oriovistoguimaraes@senado.leg.br,[object Object]
5523,Otto Alencar,PSD,BA,Masculino,sen.ottoalencar@senado.leg.br,[object Object]
